ticker;date;ALTMAN_Z_SCORE;BB_1YR_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_DPS;BEST_EV;BEST_NET_INCOME;BOOK_VAL_PER_SH;BS_ACCOUNTS_PAYABLE_AND_ACCRUALS;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_INVENTORIES;BS_LT_BORROW;BS_NET_FIX_ASSET;BS_SH_OUT;BS_ST_BORROW;BS_TOT_ASSET;CAPITAL_EXPEND;CASH_AND_MARKETABLE_SECURITIES;CASH_TO_TOT_ASSET;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;CUR_MKT_CAP;CUR_RATIO;EARN_FOR_COMMON;EARN_YLD_HIST;EBIT;EBITDA;EBITDA_TO_NET_INTEREST;EQY_DPS;FCF_TO_TOTAL_DEBT;IS_EPS;IS_INTEREST_EXPENSE;IS_INT_EXPENSE;IS_OPER_INC;IS_OPER_INC_1;LT_DEBT_TO_TOT_ASSET;NET_DEBT;NET_INCOME;OTHER_CURRENT_LIABS_DETAILED;SALES_REV_TURN;SALES_TO_TOT_ASSET;ST_CAPITAL_LEASE_OBLIGATIONS;TOTAL_EQUITY;TOT_COMMON_EQY;TOT_DEBT_TO_EBITDA;TOT_DEBT_TO_TOT_ASSET;TRAIL_12M_NET_INC;TRAIL_12M_NET_SALES;px_last;WACC;WORKING_CAPITAL;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_SP_OUTLOOK
ABBN SW Equity;31/03/2002;;;;;;;1.5958;;23212;21250;2675;4367;2792;1403.0822;6626;33039;-152;6248;11.1081;-178;-330;;1.0923;114;;210;362;;;;0.0793;;;210;210;13.2177;4745;114;12055;3945;0.1194;;2456;2239;;33.2728;;;;5.3241;1962;;
ABBN SW Equity;28/06/2002;0.3314;0.020976601;3.194;;;;;;;;;;;;;;;;;;;14749.013;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5119;;;BBB- *-;
ABBN SW Equity;30/06/2002;;;;;;;1.5993;;23560;20266;2914;5789;2829;1403.0822;3945;33571;-145;4252;6.0767;65;-80;;1.1625;7;;114;253;;;;0.0079;;;114;114;17.244;5482;7;13754;4557;0.1357;;2462;2244;;28.9953;;;;6.6479;3294;;
ABBN SW Equity;30/09/2002;0.1889;0.055178747;3.455;;;;1.377;;22110;19248;2883;5475;2657;1403.0822;3641;31927;-147;3493;5.002;-212;-359;5420.958;1.1487;-70;;12;163;;;;-0.0476;;;12;12;17.1485;5623;-70;13112;4525;0.1417;;2202;1932;;28.5526;;;3.8636;4.8667;2862;BBB- *-;
ABBN SW Equity;31/12/2002;0.7889;0.068740758;2.212;;;;0.722;;19955;18414;2377;5376;2792;1403.1364;2576;29533;-158;4613;8.3906;381;223;4374.6129;1.0837;-834;;58;227;;;-0.0687;-0.595;;;58;58;18.2034;3339;-834;12877;5268;0.1784;;1271;1013;7.9124;26.9258;-783;18295;3.1179;5.992;1541;BBB- *-;
ABBN SW Equity;31/03/2003;0.9298;0.080781484;2.448;;;;0.7168;;18779;17586;2594;4870;2779;1503.9785;3286;28272;-100;3814;6.2677;-928;-1028;3528.6318;1.0678;-45;-0.854;92;236;;;-0.1525;-0.0317;;;92;92;17.2255;4342;-45;11393;4495;0.159;;1316;1078;9.2787;28.8483;-942;18845;2.5149;5.7608;1193;BB+;
ABBN SW Equity;30/06/2003;1.0942;0.068583207;2.31;;;;0.8491;;19717;18158;2626;4708;2801;1503.9785;3596;28788;-130;4113;7.0342;-25;-155;5309.6464;1.0859;-55;-0.5995;171;317;;;-0.1588;-0.0397;;;171;171;16.354;4191;-55;11593;5061;0.1758;;1491;1277;8.8059;28.8454;-1004;19349;3.5304;6.0592;1559;BB+;
ABBN SW Equity;30/09/2003;1.1939;0.031802881;2.929;;;;0.6775;;19346;17424;2660;5257;2835;1503.9785;3089;28549;-161;4263;7.65;171;10;8710.2064;1.1103;-283;-1.0477;230;375;;;-0.1138;-0.1904;;;230;230;18.414;4083;-283;11425;4553;0.1595;;1269;1019;7.226;29.2339;-1217;19377;5.7914;6.9766;1922;BB+;
ABBN SW Equity;31/12/2003;1.2782;0.003354823;2.897;;;;1.4381;;20751;17020;4055;6290;2858;2028.405;1644;30401;-156;5239;15.733;621;465;12980.8747;1.2192;-388;-0.9132;131;281;;;-0.0892;-0.28;;;131;131;20.6901;2695;-388;11342;4441;0.1461;;3202;2917;6.5624;26.0978;-771;18550;6.27;8.1715;3731;BB+;
ABBN SW Equity;31/03/2004;1.4606;0.002127798;2.8;;;;1.4854;;19588;14611;2821;5774;2749;2028.405;974;28264;-98;3820;9.1388;-128;-226;15465.2526;1.3406;1;1.8527;247;395;3.5909;;0.0139;0;110;110;247;247;20.4288;2928;1;10763;4528;0.1602;;3300;3013;4.9327;23.8749;-725;18583;7.47;8.2215;4977;BB+;
ABBN SW Equity;30/06/2004;1.6762;0.001945869;2.935;;;;1.4928;;16254;11743;2824;5176;2695;2028.405;939;24765;-137;3405;11.7666;-112;-249;14181.6573;1.3841;89;2.8435;321;469;4.9368;;0;0.04;95;95;321;321;20.9005;2710;89;7858;5209;0.2103;;3265;3028;4.023;24.6921;-581;18731;6.85;8.4825;4511;BB+;
ABBN SW Equity;30/09/2004;1.8006;0.000821879;3.545;;;;1.5386;;15489;11291;2965;4562;2712;2028.405;616;23809;-109;3596;11.9745;322;213;15775.7999;1.3718;98;2.9433;253;395;5.6429;;0.0392;0.05;70;70;253;253;19.1608;1582;98;7600;5005;0.2102;;3363;3121;3.3623;21.7481;-200;19183;7.62;9.0547;4198;BB+;
ABBN SW Equity;31/12/2004;1.6886;0.001055487;3;;;;1.3717;;15715;13459;4514;4717;2964;2058.7034;626;24677;-199;4186;14.8965;820;621;13146.4999;1.1676;-223;3.2114;313;508;5.9765;;0.0672;-0.11;275;275;313;313;19.115;1157;-223;8577;5868;0.2378;;3118;2824;3.0238;21.6517;-35;20610;6.35;7.8182;2256;BB+;
ABBN SW Equity;31/03/2005;1.8949;0.000387139;3.533;;;;1.4543;;14600;12075;3169;4688;2824;2058.7034;473;23553;-79;3651;11.0984;-235;-314;15382.44;1.2091;199;4.5064;391;533;6.7468;;0.0525;0.1;79;79;391;391;19.904;1510;199;7536;5088;0.216;;3299;2994;2.7092;21.9123;163;21170;7.43;6.9917;2525;BB+ *+;
ABBN SW Equity;30/06/2005;2.0059;0.00021153;3.742;;;;1.4796;;14515;11902;3148;4468;2648;2058.6916;444;23034;-101;3575;13.8404;168;67;17390.6455;1.2195;126;4.2783;371;516;3.6338;;0.1195;0.06;142;142;371;371;19.3974;1337;126;7450;5724;0.2485;;3333;3046;2.5164;21.325;200;21685;8.4;7.7024;2613;BB+ *+;
ABBN SW Equity;30/09/2005;2.1266;0.000122799;3.375;;;;1.6015;;14961;12366;3192;3984;2627;2058.6916;510;23119;-133;3628;12.9288;387;254;19585.1793;1.2098;188;4.7823;458;614;6.7473;;0.1397;0.09;91;91;458;458;17.2326;866;188;7881;5648;0.2443;;3591;3297;2.07;19.4386;290;22328;9.46;8.8373;2595;BB+ *+;
ABBN SW Equity;30/12/2005;2.4259;2.19E-05;3.968;;;;;;;;;;;;;;;;;;;26396.5155;;;4.6419;;;;;;;;;;;;;;;;;;;;;;;;12.75;;;BB+ *+;
ABBN SW Equity;31/12/2005;;;;;;;1.6863;;14148;11606;4353;3933;2565;2065.4104;169;22276;-143;3541;14.482;692;549;;1.219;222;;558;712;;;0.1355;0.11;91;91;558;558;17.6558;561;222;8116;5552;0.2492;;3824;3483;1.7272;18.4144;735;22012;;9.1206;2542;;
ABBN SW Equity;31/03/2006;2.5927;1.81E-05;3.516;;;;1.8558;;14997;11894;3521;3966;2585;2065.9282;168;23099;-89;3707;13.2733;39;-50;34056.6808;1.2609;204;3.722;492;627;8.36;;0.1984;0.1;75;75;492;492;17.1696;427;204;8204;5139;0.2225;;4210;3834;1.6744;17.8969;740;22063;16.45;8.9171;3103;BBB+;
ABBN SW Equity;30/06/2006;2.7356;0.00013691;3.5;;;;2.4757;;15332;11400;3810;3091;2690;2173.1269;176;23539;-123;3569;13.2886;338;215;33023.3684;1.3449;367;4.3894;645;784;12.25;;0.2963;0.17;112;112;645;645;13.1314;-302;367;7484;5641;0.2396;;5716;5380;1.1936;13.8791;981;21980;15.9;9.001;3932;BBB+;
ABBN SW Equity;29/09/2006;2.8122;0.000122111;3.767;;;;;;;;;;;;;;;;;;;35894.0606;;;4.8644;;;;;;;;;;;;;;;;;;;;;;;;16.45;;;BBB+;
ABBN SW Equity;30/09/2006;;;;;;;2.6321;;16056;11617;4054;3087;2652;2173.1794;97;24177;-106;3888;13.1902;523;417;;1.3821;397;;669;809;25.2813;;0.3552;0.18;58;58;669;669;12.7683;-704;397;7757;5684;0.2351;;6098;5720;1.0859;13.1695;1190;22016;;8.826;4439;;
ABBN SW Equity;29/12/2006;3.1909;6.01E-05;3.75;;;;;;;;;;;;;;;;;;;47676.9134;;;4.0201;;;;;;;;;;;;;;;;;;;;;;;;21.85;;;BBB+;
ABBN SW Equity;31/12/2006;;;;;;;2.771;;17555;12485;3807;3160;2793;2178.9736;122;25142;-218;4726;16.6972;1039;821;;1.4061;422;;751;907;-82.4545;;0.4275;0.2;62;62;751;751;12.5686;-1444;422;9084;6817;0.2711;;6489;6038;1.0496;13.0539;1390;23281;;10.1456;5070;;
ABBN SW Equity;30/03/2007;3.1871;5.34E-05;3.815;;;;;;;;;;;;;;;;;;;45505.332;;;4.8387;;;;;;;;;;;;;;;;;;;;;;;;20.8;;;A-;
ABBN SW Equity;31/03/2007;;;;;;;3.1971;;18635;12977;4339;2371;2818;2261.7658;341;26251;-124;5051;16.6317;303;179;;1.436;537;;822;969;12.92;;0.6018;0.25;75;75;822;822;9.032;-2339;537;8742;6215;0.2368;;7715;7231;0.7818;10.331;1723;24357;;11.756;5658;;
ABBN SW Equity;29/06/2007;3.721;3.48E-06;4.222;;;;;;;;;;;;;;;;;;;63120.3615;;;4.2628;;;;;;;;;;;;;;;;;;;;;;;;27.8;;;A-;
ABBN SW Equity;30/06/2007;;;;;;;3.3644;;19722;13472;4581;2279;2909;2269.9547;387;26908;-160;5041;16.4561;396;236;;1.4639;729;;1024;1163;-1163;;0.62;0.32;40;40;1024;1024;8.4696;-2375;729;8905;7092;0.2636;;8068;7637;0.6928;9.9078;2085;25808;;12.3168;6250;;
ABBN SW Equity;28/09/2007;3.93;4.57E-06;4.433;;;;;;;;;;;;;;;;;;;70171.7052;;;4.1844;;;;;;;;;;;;;;;;;;;;;;;;30.66;;;A-;
ABBN SW Equity;30/09/2007;;;;;;;3.8597;;21773;14557;4988;2171;3061;2291.1319;443;29021;-184;5942;16.0332;886;702;;1.4957;738;;1035;1184;74;;0.7414;0.32;108;108;1035;1035;7.4808;-3328;738;9595;7190;0.2478;;9335;8843;0.619;9.0073;2426;27314;;12.2934;7216;;
ABBN SW Equity;31/12/2007;4.296;1.19E-05;4.156;;;;4.7695;;23145;14479;4863;2138;3246;2297.2896;536;31001;-288;8110;14.9995;1469;1181;75348.3694;1.5985;1753;3.8014;1136;1303;;;0.8594;0.77;63;63;1136;1136;6.8966;-5436;1753;9776;8635;0.2785;;11549;10957;0.5789;8.6255;3757;29132;32.62;13.2645;8666;A-;
ABBN SW Equity;31/03/2008;4.0159;0.000102282;4.176;;;;5.2391;;25227;15702;5543;2338;3527;2289.1229;383;33493;-204;8362;19.3981;464;260;61744.9635;1.6066;1003;5.9175;1353;1503;46.9688;;0.8743;0.44;32;32;1353;1353;6.9806;-5641;1003;10894;7956;0.2375;;12603;11993;0.528;8.1241;4223;30873;26.66;12.7883;9525;A-;
ABBN SW Equity;30/06/2008;4.247;8.52E-05;4;;;;5.6483;;25935;15803;5817;2212;3625;2251.6323;383;34155;-269;8600;23.6774;978;709;67303.3999;1.6411;975;6.0074;1449;1616;-39.4146;;1.099;0.43;45;45;1449;1449;6.4764;-6005;975;10708;9025;0.2642;;13256;12718;0.4629;7.5977;4469;32806;29.06;12.5818;10132;A-;
ABBN SW Equity;30/09/2008;3.8843;0.000203939;4;;;;5.1362;;24071;15378;5754;1989;3485;2282.6253;374;32523;-263;7189;16.4407;1121;858;49057.3823;1.5653;927;9.5094;1291;1457;-112.0769;;1.273;0.41;62;62;1291;1291;6.1157;-4826;927;10557;8791;0.2703;;12277;11724;0.4019;7.2656;4658;34407;21.12;11.9172;8693;A-;
ABBN SW Equity;31/12/2008;3.4583;0.001651425;3.417;;;;4.8881;;24347;16004;5306;2009;3562;2282.6848;354;33181;-435;7806;19.2851;1395;960;36189.1106;1.5213;213;12.1394;505;683;12.1964;;1.1794;0.09;210;210;505;505;6.0547;-5443;213;11199;9140;0.2755;40;11770;11158;0.4493;7.1215;3118;34912;15.58;10.8403;8343;A-;
ABBN SW Equity;31/03/2009;3.4947;0.00244162;3.162;;;;4.8855;6613;23323;14815;5316;1960;3462;2322.793;349;32026;-185;7127;20.4521;-104;-289;36909.1764;1.5743;652;8.9219;862;1010;;;0.9693;0.29;;;862;862;6.12;-4818;652;6132;7209;0.2251;;11977;11348;0.4845;7.2098;2767;34165;15.89;11.4457;8508;A-;
ABBN SW Equity;30/06/2009;3.4454;0.002564213;2.974;;;;5.4843;6774;24753;15162;5482;2063;3718;2322.793;331;33859;-224;8138;20.1483;1067;843;39673.2997;1.6326;675;6.9877;1047;1197;;;0.9908;0.3;;;1047;1047;6.0929;-5744;675;6236;7915;0.2338;;13281;12739;0.5507;7.0705;2467;33055;17.08;10.9658;9591;A-;
ABBN SW Equity;30/09/2009;3.7645;0.001814994;3.25;;;;5.7388;6792;24950;14775;5347;2219;3967;2322.793;218;34426;-215;8281;15.9821;1281;1066;48314.0887;1.6887;1034;5.7306;1419;1588;;;1.0587;0.45;;;1419;1419;6.4457;-5844;1034;5900;7910;0.2298;;13928;13330;0.5442;7.079;2574;32174;20.8;10.6468;10175;A-;
ABBN SW Equity;31/12/2009;3.7602;0.000301488;3.244;;;;6.0234;7228;25229;14579;4550;2172;4072;2289.4232;161;34728;-343;9552;20.4993;1783;1440;46325.7364;1.7305;540;5.9772;798;986;;;1.3116;0.24;;;798;798;6.2543;-7219;540;4991;8761;0.2523;;14473;13790;0.488;6.7179;2901;31795;19.94;10.6983;10650;A-;
ABBN SW Equity;31/03/2010;4.028;6.57E-05;3.744;;;;6.1127;6513;25021;14141;4689;2061;3956;2290.1513;205;34328;-148;9413;21.5801;427;279;53644.348;1.7694;464;5.3861;709;878;;;1.6011;0.2;;;709;709;6.0038;-7147;464;5475;6934;0.202;;14698;13999;0.4874;6.601;2713;31520;23.03;12.4487;10880;A;
ABBN SW Equity;30/06/2010;3.8636;6.79E-05;4.195;;;;6.1513;6538;23516;13835;4551;1887;3766;2284.0853;237;33778;-132;8014;19.3499;649;517;44187.2897;1.6997;623;6.59;975;1142;;;1.5546;0.27;;;975;975;5.5865;-5890;623;5189;7573;0.2242;;14628;14050;0.4623;6.2881;2661;31178;18.97;12.9878;9681;A;
ABBN SW Equity;30/09/2010;3.8669;3.02E-05;4.14;;;;6.1377;7348;24331;15070;5109;2080;4092;2283.9267;253;35299;-153;7622;14.9268;1362;1209;47770.7195;1.6145;774;4.9727;1156;1342;;;1.4766;0.34;;;1156;1156;5.8925;-5289;774;5496;7903;0.2239;;14539;14018;0.5366;6.6093;2401;31171;20.71;12.7153;9261;A;
ABBN SW Equity;31/12/2010;3.8908;1.67E-05;4.159;;;;6.5186;8227;25348;16738;4878;1139;4356;2283.4646;1043;36295;-407;8610;16.2474;1759;1352;48047.5175;1.5144;700;4.7227;978;1158;;;1.5385;0.3062;;;978;978;3.1382;-6428;700;5077;9179;0.2529;;15458;14885;0.4827;6.0118;2561;31589;20.83;14.1684;8610;A;
ABBN SW Equity;31/03/2011;4.172;9.32E-06;4.234;;;;6.9989;8127;23081;17188;6085;1189;4843;2283.9299;1125;37939;-139;4511;9.6181;166;27;50931.7305;1.3429;655;4.9839;1013;1244;;;1.3418;0.29;;;1013;1013;3.134;-2197;655;5862;8402;0.2215;;16594;15985;0.4736;6.0993;2752;33057;22.06;13.7969;5893;A;
ABBN SW Equity;30/06/2011;4.1034;2.59E-06;4.318;;;;6.9781;8323;24535;17813;6628;2471;5019;2290.1739;1191;39869;-204;4911;11.4174;891;687;50331.4472;1.3774;893;5.1004;1337;1579;;;0.8943;0.39;;;1337;1337;6.1978;-1249;893;6099;9680;0.2428;;16515;15981;0.688;9.1851;3022;35164;21.8;13.2088;6722;A;
ABBN SW Equity;30/09/2011;3.67;9.24E-05;4.419;;;;6.9126;7850;24670;18363;6492;2380;4757;2290.3177;2238;40252;-233;5594;12.4118;811;578;36503.5035;1.3435;790;7.5715;1194;1451;;;0.5725;0.34;;;1194;1194;5.9127;-976;790;6107;9337;0.232;;16351;15832;0.8501;11.4727;3038;36598;15.77;12.3465;6307;A;
ABBN SW Equity;30/12/2011;3.9716;0.000251936;4.571;;;;;;;;;;;;;;;;;;;40924.6635;;;7.3214;;;;;;;;;;;;;;;;;;;;;;;;17.68;;;A;
ABBN SW Equity;31/12/2011;;;;;;;6.8883;8502;23787;16561;5737;3231;4922;2290.4111;765;39648;-694;5767;12.1545;1744;1050;;1.4363;830;;1123;1388;;;0.5861;0.3624;;;1123;1123;8.1492;-1771;830;4739;10571;0.2666;;16336;15777;0.7058;10.0787;3168;37990;;11.5781;7226;;
ABBN SW Equity;30/03/2012;3.848;0.000217674;4.216;;;;;;;;;;;;;;;;;;;42869.0479;;;6.7715;;;;;;;;;;;;;;;;;;;;;;;;18.52;;;A;
ABBN SW Equity;31/03/2012;;;;;;;7.3888;7890;26760;16542;6356;5364;5121;2293.3258;812;43008;-236;7588;13.3719;-22;-258;;1.6177;685;;1048;1301;;;0.3331;0.3;;;1048;1048;12.4721;-1412;685;5523;8907;0.2071;;17524;16945;1.0799;14.3601;3198;38495;;10.6465;10218;;
ABBN SW Equity;29/06/2012;3.4738;0.000569187;4.128;;;;;;;;;;;;;;;;;;;35762.7857;;;7.8591;;;;;;;;;;;;;;;;;;;;;;;;15.45;;;A;
ABBN SW Equity;30/06/2012;;;;;;;6.7281;7917;24354;17661;6363;6977;5407;2293.383;2217;45343;-300;5148;10.5264;595;295;;1.379;656;;1001;1282;;;0.1811;0.29;;;1001;1001;15.3872;4046;656;5395;9663;0.2131;;15913;15430;1.6957;20.2766;2961;38478;;10.7127;6693;;
ABBN SW Equity;28/09/2012;3.5331;0.000303109;4.079;;;;;;;;;;;;;;;;;;;40832.0737;;;6.7534;;;;;;;;;;;;;;;;;;;;;;;;17.64;;;A;
