rating;code
AAA;7
AA+;6
AA;6
AA-;6
A+;5
A;5
A-;5
BBB+;4
BBB;4
BBB-;4
BB+;3
BB;3
BB-;3
B+;2
B;2
B-;2
CCC;1
CC;1
C;1
D;0
